Date/Time,VV_Ka_0,VV_Ka_45,HH_Ka_0,HH_Ka_45,HV_Ka_0,HV_Ka_45,,VV_Ku_0,VV_Ku_45,HH_Ku_0,HH_Ku_45,HV_Ku_0,HV_Ku_45
9/9/2020 0:20,1.88689,-2.853798,4.92017,-0.3844,-4.81983,-6.97149,,1.21523,-6.06185,2.45396,-4.41107,-10.4875,-11.6572
9/9/2020 1:16,1.9045,-2.917457,4.97899,-0.40623,-4.89449,-7.07056,,1.40131,-6.05569,2.65951,-4.36056,-10.5676,-11.6789
9/9/2020 2:12,1.97218,-2.822198,4.8751,-0.35909,-4.73907,-7.00604,,1.40958,-6.1445,2.59074,-4.37417,-10.6406,-11.7489
9/9/2020 3:08,2.15519,-2.896954,5.06629,-0.46157,-4.84262,-7.10986,,1.48234,-6.15562,2.74144,-4.42691,-10.7114,-11.7383
9/9/2020 4:04,2.08338,-2.961042,4.98228,-0.55106,-4.84103,-7.18412,,1.75741,-6.10422,2.9802,-4.42677,-10.779,-11.7385
9/9/2020 5:00,2.20889,-3.115978,5.10284,-0.59407,-5.04944,-7.341,,1.4672,-6.12015,2.75561,-4.45935,-10.7671,-11.7686
9/9/2020 5:56,2.20321,-3.062128,5.23686,-0.50755,-4.94947,-7.3344,,1.34302,-6.10157,2.6315,-4.41606,-10.7343,-11.7339
9/9/2020 6:52,2.19715,-3.07096,5.26089,-0.56343,-5.01697,-7.35567,,1.26688,-6.14337,2.57908,-4.41702,-10.7672,-11.7539
9/9/2020 7:48,2.38868,-3.065333,5.3481,-0.5741,-5.03403,-7.38114,,1.2704,-6.18342,2.54158,-4.48825,-10.7653,-11.7826
9/9/2020 8:44,2.38462,-3.192801,5.36123,-0.64726,-5.06082,-7.40782,,1.17597,-6.18308,2.49805,-4.44741,-10.7497,-11.7801
9/9/2020 9:40,2.23174,-3.011433,5.19767,-0.53032,-5.14973,-7.32741,,1.03963,-6.16298,2.32016,-4.41467,-10.7135,-11.8513
9/9/2020 10:36,1.9929,-3.034509,4.99656,-0.68044,-5.17462,-7.27108,,1.18977,-6.19846,2.47497,-4.48805,-10.716,-11.8654
9/9/2020 11:32,1.84005,-2.563249,4.88906,-0.00865,-4.89058,-7.08521,,1.12083,-6.16729,2.36514,-4.4447,-10.5415,-11.8769
9/9/2020 12:28,1.84702,-2.578672,4.61839,0.06568,-4.95531,-6.90894,,1.34139,-6.14209,2.50442,-4.30652,-10.5634,-11.6823
9/9/2020 13:24,1.82346,-3.179823,4.54997,-0.59026,-5.0014,-7.13803,,1.45024,-6.04559,2.57168,-4.33155,-10.7827,-11.7656
9/9/2020 14:20,1.83746,-2.554047,4.49253,0.16422,-4.9895,-6.8134,,1.18594,-6.07155,2.42232,-4.39451,-10.5676,-11.8745
9/9/2020 15:16,1.83426,-3.072592,4.52745,-0.51174,-4.85285,-6.89513,,1.14428,-6.14028,2.4221,-4.43773,-10.6322,-11.8956
9/9/2020 16:12,1.80226,-2.641196,4.49271,0.12905,-4.8468,-6.78814,,1.23778,-6.10254,2.56769,-4.4356,-10.6215,-11.8662
9/9/2020 17:08,1.72362,-2.671356,4.53136,0.08429,-4.99438,-6.79777,,1.23777,-6.12725,2.55547,-4.43465,-10.632,-11.8548
9/9/2020 18:04,1.65316,-3.113965,4.32748,-0.54982,-4.98288,-6.93002,,1.05889,-6.18726,2.33599,-4.46843,-10.6637,-11.8399
9/9/2020 19:00,1.70037,-3.174197,4.40103,-0.48599,-4.88932,-6.97607,,1.02235,-6.14269,2.33974,-4.44518,-10.6179,-11.7659
9/9/2020 19:56,1.71813,-3.142888,4.43551,-0.54013,-4.89816,-6.91586,,1.13458,-6.11214,2.41713,-4.42308,-10.5828,-11.7687
9/9/2020 20:52,1.77688,-3.038329,4.54587,-0.44542,-5.01512,-6.84717,,1.15288,-6.03282,2.42431,-4.40971,-10.567,-11.7303
9/9/2020 21:48,1.80903,-3.017616,4.51512,-0.43636,-5.00722,-6.82257,,1.13947,-6.06479,2.38799,-4.40998,-10.6062,-11.6428
9/9/2020 22:44,1.92721,-3.051175,4.67297,-0.41063,-4.78208,-6.80449,,1.32705,-6.04544,2.53034,-4.38955,-10.662,-11.6636
9/9/2020 23:40,1.91018,-3.027014,4.59398,-0.38832,-4.87686,-6.8376,,1.28359,-6.09362,2.52821,-4.40674,-10.6479,-11.682
9/10/2020 0:36,1.9478,-2.603641,4.59998,0.15424,-4.87915,-6.71914,,1.26174,-6.15273,2.41928,-4.41166,-10.7459,-11.6054
9/10/2020 1:32,1.91384,-2.63155,4.77147,0.23832,-4.92915,-6.75606,,1.15054,-6.14304,2.42068,-4.39705,-10.6386,-11.7014
9/10/2020 2:28,1.89612,-3.087721,4.59498,-0.3406,-4.98544,-6.9111,,1.08751,-6.21583,2.34731,-4.43444,-10.6836,-11.6515
9/10/2020 3:24,1.93782,-2.581317,4.64671,0.23244,-5.00541,-6.72537,,1.06536,-6.16981,2.35279,-4.40439,-10.6587,-11.7284
9/10/2020 4:20,1.99634,-2.574629,4.74691,0.14671,-5.07206,-6.69619,,1.02582,-6.19243,2.31902,-4.42153,-10.6714,-11.7113
9/10/2020 5:17,2.14157,-2.620991,4.95656,0.1207,-4.90524,-6.74179,,1.02425,-6.19437,2.30797,-4.42047,-10.6957,-11.7653
9/10/2020 6:13,2.16286,-3.031164,4.95656,-0.42464,-4.91429,-6.84649,,1.02167,-6.26578,2.29703,-4.45304,-10.7095,-11.6649
9/10/2020 7:09,2.28784,-3.058602,5.10073,-0.50612,-4.92516,-6.88198,,1.06714,-6.2563,2.27639,-4.43244,-10.713,-11.7594
9/10/2020 8:05,2.28396,-3.032502,5.02038,-0.47004,-5.07036,-6.89078,,1.04662,-6.25132,2.32182,-4.42018,-10.7205,-11.7751
9/10/2020 10:09,2.3659866667,-3.042094,5.1976226667,-0.7517813333,-4.9713966667,-6.946012,,1.044578,-6.2887253333,2.2831353333,-4.4397666667,-10.73956,-11.7618066667
9/10/2020 10:25,2.4265366667,-3.042763,5.2813315238,-0.923673619,-4.968342381,-6.9885582857,,1.0453688571,-6.3078844762,2.2747444762,-4.4438880952,-10.7523485714,-11.769732381
9/10/2020 10:41,2.4870866667,-3.043432,5.365040381,-1.0955659048,-4.9652880952,-7.0311045714,,1.0461597143,-6.327043619,2.266353619,-4.4480095238,-10.7651371429,-11.7776580952
9/10/2020 10:57,2.5476366667,-3.044101,5.4487492381,-1.2674581905,-4.9622338095,-7.0736508571,,1.0469505714,-6.3462027619,2.2579627619,-4.4521309524,-10.7779257143,-11.7855838095
9/10/2020 11:13,2.6081866667,-3.04477,5.5324580952,-1.4393504762,-4.9591795238,-7.1161971429,,1.0477414286,-6.3653619048,2.2495719048,-4.456252381,-10.7907142857,-11.7935095238
9/10/2020 11:43,2.07588,-2.820068,5.237,-0.16777,-5.20904,-6.93043,,0.826982,-6.32786,2.21527,-4.66201,-10.953,-12.0365
9/10/2020 12:39,2.21295,-2.706717,5.26606,-0.04172,-4.9589,-6.82066,,0.865815,-6.29239,2.2431,-4.60342,-10.9933,-12.0007
9/10/2020 13:35,2.22261,-2.661449,5.18508,0.03391,-4.88705,-6.77187,,0.842534,-6.31556,2.26242,-4.66292,-10.9539,-12.0228
9/10/2020 14:31,2.14949,-3.011171,5.16086,-0.48692,-5.22341,-6.78768,,0.802814,-6.34591,2.22504,-4.70363,-10.9733,-11.9879
9/10/2020 15:27,2.14587,-2.595799,5.06384,0.0569,-4.92201,-6.68326,,0.773887,-6.36687,2.19007,-4.66905,-11.0104,-11.9972
9/10/2020 16:23,2.12672,-2.581724,5.12751,0.06868,-5.18636,-6.69629,,0.733157,-6.40286,2.17165,-4.72061,-10.9645,-12.0014
9/10/2020 17:19,2.14591,-2.640677,5.07789,0.08172,-4.88078,-6.71262,,0.696329,-6.40784,2.12312,-4.73798,-11.0464,-11.9962
9/10/2020 18:15,2.06512,-2.664736,5.00977,0.03189,-5.17628,-6.72483,,0.476778,-6.4834,1.87745,-4.7339,-11.0704,-11.9921
9/10/2020 19:11,2.13732,-2.687143,5.30795,0.05129,-5.26294,-6.7509,,0.577079,-6.41521,2.03957,-4.73049,-10.9833,-11.9587
9/10/2020 20:07,2.03793,-2.700341,4.98421,0.00346,-5.21976,-6.76341,,0.596328,-6.45408,2.08131,-4.71239,-10.9962,-11.9715
9/10/2020 21:03,1.98837,-2.736454,4.8794,0.05263,-5.05447,-6.80549,,0.530441,-6.44232,1.96397,-4.65634,-11.0234,-11.9836
9/10/2020 21:59,2.04547,-2.695889,4.93588,0.03106,-5.12664,-6.77722,,0.541001,-6.44609,2.02401,-4.59955,-10.9385,-11.9982
9/10/2020 22:55,1.98728,-3.217291,4.91423,-0.54376,-5.22436,-6.9677,,0.445492,-6.53511,1.86221,-4.64662,-11.0406,-12.009
9/10/2020 23:51,1.91966,-2.767593,4.82671,0.02523,-5.07261,-6.83713,,0.472959,-6.49313,1.93629,-4.62916,-10.9577,-12.0102
9/11/2020 0:47,2.08783,-2.792768,5.26311,-0.03737,-5.21377,-6.83592,,0.484164,-6.40821,1.92975,-4.66549,-10.936,-11.9758
9/11/2020 1:43,2.06781,-2.75927,5.05543,0.05448,-4.86966,-6.81869,,0.486491,-6.41165,1.93257,-4.62153,-10.8841,-11.9097
9/11/2020 2:39,1.94456,-2.786626,5.00565,0.02429,-5.30617,-6.84922,,0.507991,-6.27608,1.91923,-4.59493,-10.9089,-11.8229
9/11/2020 3:35,2.00137,-2.818472,5.18255,-0.04891,-5.29963,-6.85148,,0.401871,-6.28692,1.82745,-4.58139,-10.8941,-11.8549
9/11/2020 4:31,1.86927,-2.800185,4.81046,-0.03123,-4.94063,-6.84869,,0.450081,-6.28952,1.85367,-4.56125,-10.9007,-11.8912
9/11/2020 5:27,1.93919,-2.78129,5.06247,-0.02219,-5.30113,-6.81925,,0.41536,-6.33476,1.84187,-4.53894,-10.9062,-11.9386
9/11/2020 6:23,1.84294,-2.73547,4.78774,0.03737,-4.9872,-6.81868,,0.379808,-6.372,1.7688,-4.56536,-10.9304,-11.9385
9/11/2020 7:19,1.87686,-2.743472,4.86473,0.07615,-5.16255,-6.81877,,0.280924,-6.34893,1.71089,-4.6222,-10.9072,-11.9716
9/11/2020 8:15,1.86087,-2.755461,4.82221,0.06179,-5.11921,-6.82537,,0.137925,-6.50088,1.54541,-4.65109,-10.9569,-12.0409
9/11/2020 9:12,1.8637,-2.742719,4.84687,0.10714,-4.85062,-6.83059,,0.0850351,-6.50315,1.46847,-4.67525,-11.0045,-12.045
9/11/2020 10:08,2.02719,-2.757358,5.15471,0.08979,-5.01059,-6.83192,,0.234795,-6.50242,1.70582,-4.71722,-10.9962,-12.0457
9/11/2020 11:04,1.80951,-2.761646,4.7663,0.09697,-5.10308,-6.84318,,0.204977,-6.57035,1.67229,-4.68771,-10.9963,-12.0319
9/11/2020 12:00,1.98599,-2.78159,5.14513,0.02098,-5.0982,-6.83882,,0.109274,-6.60882,1.53815,-4.72665,-11.0259,-12.043
9/11/2020 12:56,1.80147,-2.68082,4.78639,0.12024,-4.99063,-6.77473,,0.0305763,-6.59511,1.41453,-4.71472,-11.0313,-12.0391
9/11/2020 13:52,1.79393,-2.782048,4.83233,0.01461,-5.25642,-6.84347,,0.135633,-6.52675,1.57287,-4.70809,-11.0087,-12.0483
9/11/2020 14:48,1.9056,-2.765823,4.98417,0.03154,-4.86963,-6.84592,,0.136313,-6.49976,1.56613,-4.69301,-10.8886,-11.9578
